symbol,period,balance_identity,gross_profit_decomposes,cf_sums_to_net,cf_internal_roll,total_liabilities_identity,net_income_parent_identity,issuance_nonneg
ANT,2023,True,True,True,True,True,True,True
ANT,2024,True,True,True,True,True,True,True
ANT,2025,True,True,True,True,True,True,True
ANV,2009,True,True,True,True,True,True,True
ANV,2010,True,True,True,True,True,True,True
ANV,2011,True,True,True,True,True,True,True
ANV,2012,True,True,True,True,True,True,True
ANV,2013,True,True,True,True,True,True,True
ANV,2014,True,True,True,True,True,True,True
ANV,2015,True,True,True,True,True,True,True
ANV,2016,True,True,True,True,True,True,True
ANV,2017,True,True,True,True,True,True,True
ANV,2018,True,True,True,True,True,True,True
ANV,2019,True,True,True,True,True,True,True
ANV,2020,True,True,True,True,True,True,True
ANV,2021,True,True,True,True,True,True,True
ANV,2022,True,True,True,True,True,True,True
ANV,2023,True,True,True,True,True,True,True
ANV,2024,True,True,True,True,True,True,True
ANV,2025,True,True,True,True,True,True,True
APC,2009,True,True,True,True,True,True,True
APC,2010,True,True,True,True,True,True,True
APC,2011,True,True,True,True,True,True,True
APC,2012,True,True,True,True,True,True,True
APC,2013,True,True,True,True,True,True,True
APC,2014,True,True,True,True,True,True,True
APC,2015,True,True,True,True,True,True,True
APC,2016,True,True,True,True,True,True,True
APC,2017,True,True,True,True,True,True,True
APC,2018,True,True,True,True,True,True,True
APC,2019,True,True,True,True,True,True,True
APC,2020,True,True,True,True,True,True,True
APC,2021,True,True,True,True,True,True,True
APC,2022,True,True,True,True,True,True,True
APC,2023,True,True,True,True,True,True,True
APC,2024,True,True,True,True,True,True,True
APC,2025,True,True,True,True,True,True,True
APF,2015,True,True,True,True,True,True,True
APF,2016,True,True,True,True,True,True,True
APF,2017,True,True,True,True,True,True,True
APF,2018,True,True,True,True,True,True,True
APF,2019,True,True,True,True,True,True,True
APF,2020,True,True,True,True,True,True,True
APF,2021,True,True,True,True,True,True,True
APF,2022,True,True,True,True,True,True,True
APF,2023,True,True,True,True,True,True,True
APF,2024,True,True,True,True,True,True,True
APF,2025,True,True,True,True,True,True,True
APH,2018,True,True,True,True,True,True,True
APH,2019,True,True,True,True,True,True,True
APH,2020,True,True,True,True,True,True,True
APH,2021,True,True,True,True,True,True,True
APH,2022,True,True,True,True,True,True,True
APH,2023,True,True,True,True,True,True,True
APH,2024,True,True,True,True,True,True,True
APH,2025,True,True,True,True,True,True,True
API,2009,True,True,True,True,True,True,True
API,2010,True,True,True,True,True,True,True
API,2011,True,True,True,True,True,True,True
API,2012,True,True,True,True,True,True,True
API,2013,True,True,True,True,True,True,True
API,2014,True,True,True,True,True,True,True
API,2015,True,True,True,True,True,True,True
API,2016,True,True,True,True,True,True,True
API,2017,True,True,True,True,True,True,True
API,2018,True,True,True,True,True,True,True
API,2019,True,True,True,True,True,True,True
API,2020,True,True,True,True,True,True,True
API,2021,True,True,True,True,True,True,True
API,2022,True,True,True,True,True,True,True
API,2023,True,True,True,True,True,True,True
API,2024,True,True,True,True,True,True,True
API,2025,True,True,True,True,True,True,True
APL,2014,True,True,True,True,True,True,True
APL,2015,True,True,True,True,True,True,True
APL,2016,True,True,True,True,True,True,True
APL,2017,True,True,True,True,True,True,True
APL,2018,True,True,True,True,True,True,True
APL,2019,True,True,True,True,True,True,True
APL,2020,True,True,True,True,True,True,True
APL,2021,True,True,True,True,True,True,True
APL,2022,True,True,True,True,True,True,True
APL,2023,True,True,True,True,True,True,True
APL,2024,True,True,True,True,True,True,True
APL,2025,True,True,True,True,True,True,True
APP,2013,True,True,True,True,True,True,True
APP,2014,True,True,True,True,True,True,True
APP,2015,True,True,True,True,True,True,True
APP,2020,True,True,True,True,True,True,True
APP,2021,True,True,True,True,True,True,True
APP,2022,True,True,True,True,True,True,True
APP,2023,True,True,True,True,True,True,True
APP,2024,True,True,True,True,True,True,True
APP,2025,True,True,True,True,True,True,True
APT,2017,True,True,True,True,True,True,True
APT,2018,True,True,True,True,True,True,True
APT,2019,True,True,True,True,True,True,True
APT,2025,True,True,True,True,True,True,True
AQN,2017,True,True,True,True,True,True,True
AQN,2018,True,True,True,True,True,True,True
AQN,2019,True,True,True,True,True,True,True
