formation_year,index,ticker,roa_pos,cfo_pos,delta_roa_pos,accruals_ok,delta_leverage_down,delta_liquidity_up,no_issuance,delta_margin_up,delta_turnover_up,fscore
2020,23,4661.T,1,1,1,1,0,0,0,1,1,6
2020,24,4901.T,1,1,0,1,0,0,1,1,1,6
2020,25,4911.T,1,1,1,1,0,0,0,0,0,4
2020,26,5020.T,1,1,0,1,1,1,1,0,0,6
2020,27,5108.T,1,1,1,1,0,1,1,0,0,6
2020,28,5401.T,1,1,1,1,0,1,0,0,1,6
2020,29,5713.T,1,1,0,1,1,0,1,0,0,5
2020,30,5802.T,1,1,0,1,1,0,0,0,0,4
2020,31,6098.T,1,1,1,1,1,0,0,1,0,6
2020,32,6273.T,1,1,0,0,0,1,1,0,0,4
2020,33,6301.T,1,1,1,0,1,1,0,1,0,6
2020,34,6326.T,1,1,1,0,0,0,1,1,1,6
2020,35,6367.T,1,1,0,1,1,0,0,1,1,6
2020,36,6501.T,1,1,0,1,1,1,0,0,0,5
2020,37,6503.T,1,1,0,1,0,1,1,0,0,5
2020,38,6594.T,1,1,0,1,1,0,1,0,0,5
2020,39,6702.T,1,1,0,0,1,1,1,0,0,5
2020,40,6752.T,1,1,1,0,1,0,0,0,0,4
2020,41,6758.T,1,1,1,1,1,0,1,1,0,7
2020,42,6861.T,1,1,0,0,0,1,1,1,0,5
2020,43,6869.T,1,1,0,1,1,1,0,0,0,5
2020,44,6902.T,1,1,0,1,0,1,1,0,0,5
2020,45,6954.T,1,1,0,1,0,1,1,0,0,5
